blockNumber,transactionIndex,address,transactionHash,logIndex,event_ilk,event_urn,event_ink,event_art,event_due,event_clip,event_id,timestamp,from
12521371,102,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x0aa6c1c3dae2855bd4a7794478b654e81710c38dc6e2bfc7ae85a7a448f7c432,126,0x4554482d41000000000000000000000000000000000000000000000000000000,0xe1c8Cdc075700c740B9E77d71828998FfF0D8308,7.207464007317341,11889.597493200868,12416752107027031934059160166963.101040324619223802,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.69e-16,1622185228,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12525367,125,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x6b88b25cf2e5068f247e74dbc63e5a725a04c6f71ff1798234663c220c33cdfd,157,0x4554482d41000000000000000000000000000000000000000000000000000000,0xD9d4bAAAe7896604331B0A046f297DD986422E0A,40,62271.70068100315,65038653666144013178101586177399.784277868873506961,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.7e-16,1622239233,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12525660,90,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x5d9da11503a12123e476772aa92844d817c055245c75f1bf17cbdf54ecde3d71,166,0x4554482d42000000000000000000000000000000000000000000000000000000,0xAdb61d80e9fd984392E930c5d43F2C04f2013773,96.16370072321945,172645.49767849472,179830463698247124603675594013700.314549338600055204,0x71eb894330e8a4b96b8d6056962e7F116F50e06F,1.1e-17,1622242824,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12528910,141,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x62a77fc5d0d384567c29abd9d2f5c7a7cb7d2f55527f9da65942406b80dcb89c,128,0x4554482d43000000000000000000000000000000000000000000000000000000,0x03b61b69f133a1dBe333D02e48366b147d60b4E4,3.6,4976.089520511401,5009126553532644851308447262463.400963597598747392,0xc2b12567523e3f3CBd9931492b91fe65b240bc47,2.1e-17,1622286925,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12531035,0,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x11ea75856b4cac623ff251afb40d24458e9e9e338fe34fe28195b9249eccf86d,8,0x4554482d41000000000000000000000000000000000000000000000000000000,0xE3399882BF13D10F55Aa4D0CC0f60C15a0DFd7CC,19.86318154854562,29719.60559088934,31044124888768596471446216288514.745497934197511868,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.71e-16,1622314817,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12531552,155,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xcf8aa7dc255dae9c87ad51fe3231247373a2142456b834dc81c9e867556e1400,211,0x4554482d41000000000000000000000000000000000000000000000000000000,0x03705c4D181FFF148450A825e0bC07106eC2272c,30.096548145652893,43117.47276459838,45039576104731162969480177370431.47748970207646738,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.72e-16,1622322021,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12558490,70,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x88eb20c858ebeb79d7b79dd48af7d9c792f93c4047783ace160413fc6ebf02cc,91,0x554e495632455448555344542d41000000000000000000000000000000000000,0x19b3Bea753bEFE26a2895B63Da181e4687E0FF3c,0.000041,5061.326784358702,5130000000000000000000635867787.464852470118812125,0x2aC4C9b49051275AcB4C43Ec973082388D015D48,1e-18,1622682245,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12565399,18,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x8aafc2c5c7ef2afc43a27baff682385771e5c8c00e7d53269bde13caaf1adace,45,0x4554482d41000000000000000000000000000000000000000000000000000000,0x2ee61be299521CfD56Ed8a0C8774d6DE01B96d0B,2.71,4812.412340334808,5030819067531464831527346645940.946952530284623526,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.73e-16,1622775630,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12589125,145,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x930ba8d698062257914d56fcfc06adbdc49178532a786a96512c514e82ebf87e,201,0x4554482d41000000000000000000000000000000000000000000000000000000,0x2d685E06bD1aEe833893825a56d899E1B41FC3D5,7.670236305725142,13401.7291676729,14017498437567844769930563627471.769744470577896302,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.74e-16,1623092412,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12589969,46,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0xae9e1b4803a0b6c6b1e1af40cda1defa6e5c1ebb36227b5b6ddabb9d9e29ba8c,99,0x574254432d410000000000000000000000000000000000000000000000000000,0x3ca615c3455A98db919B786d3A70e462fF6704d0,0.21513354,4835.533520482088,5002566272180575269176497268239.992835475292829904,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.8e-17,1623103210,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
