event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_top,event_tab,event_lot,event_usr,event_kpr,event_coin,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14054206,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x8f268dcb853ea98d536f488c36ec9ac9ac6a5486e39ec1d8c430e8edf8cdf47d,29,3.6e-16,2992188000000,38952516789337986294103800943107.365725694891963299,20,0xe1D0Dc4Aac5b983b4Fe1d2b310eCe5Ef48191E73,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,338952516789337986294103800943.107365725694891963,1642838400,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14054206,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x8f268dcb853ea98d536f488c36ec9ac9ac6a5486e39ec1d8c430e8edf8cdf47d,34,3.61e-16,2992188000000,488785333191091700247287924131264.789689263382424312,250,0x154c0376848Dcb4c0aF3A652e2fE2377a5321a56,0xe0400cd8F2F669889c48e21f2ff5381d2962BB61,788785333191091700247287924131.264789689263382424,1642838400,0xB70CB7680201e19683ecdd3f4926B17BcD48D5D1
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055006,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xc5e5ee224ffa2196ebfdaacb7910a050bf7fa7e52202799ef2da00db65d6e7b1,28,3.62e-16,2925564000000,76848091224286457426696644438045.727015122249761237,40,0xbF3a1b685dab083E11395f71a8d7CEC29271587f,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,376848091224286457426696644438.045727015122249761,1642849208,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055007,99,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x96d16554f333f1a4db5d7bba9b5b55b663b8e947053ffc14e33c47dcc405ec12,93,3.63e-16,2925564000000,11508242377574220355265146812389.395000071523851721,5.931486189013493,0x123D69F9E5BaF6922C6e21d3C3d66611aFe58A20,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,311508242377574220355265146812.389395000071523851,1642849214,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055011,3,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xb70bce6ea4c9c06b4725a581e93042c5c8f2065eee6f6a814c995714acb3aa99,22,3.64e-16,2925564000000,22640639706233120284008799772046.433880887851695516,11.7,0x0A56865307Ed26C88B053D1A0908920B9ed51330,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,322640639706233120284008799772.046433880887851695,1642849258,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055011,63,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xec744e87ebe40b696c1189eb4fb8ed080f0e0c925457608799a4133ee8e05e0b,81,3.65e-16,2925564000000,19374410269304203835465355213233.66362419388048138,10,0x644aB5Ab806bc2dB532975831705bdD2b5385f82,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,319374410269304203835465355213.233663624193880481,1642849258,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055012,46,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xf84f1b57839d8def2a6e845b37e5226fef9fbe132a6e228acc42c4edd868e263,31,3.66e-16,2925564000000,46579383569715929980716949998227.821123110724603706,24.45,0x369b69B850eF1703df7edb83adC0B760a9921B8d,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,346579383569715929980716949998.227821123110724603,1642849266,0x1121e7f863CdeCc045c1c13aBf4F20B3dd0c658a
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055032,9,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x7f64469a8589f6572bd9392c419879dfeda5890744bea4d011fe645ef1ef4327,63,3.67e-16,2925564000000,17480178328868702868916545662611.383938545484427791,9.158486726471127,0xB62CBbB38256203C645bC617BCCd693d1D8554A5,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,317480178328868702868916545662.611383938545484427,1642849519,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055034,2,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x9940227cc6ef1f8dd8a1d1e3d99c4fee4eb07a7a40708b9b069591004cacad16,27,3.68e-16,2925564000000,17540674632075396262193216068032.112207342264100257,9.18381689957532,0xCc2E4C7cD2830160285795ba0d76505397DBd81b,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,317540674632075396262193216068.0321122073422641,1642849550,0x55F8755D9b04F2995733949a03fD260841E1C75d
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,14055048,0,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x471ceedfe1daddac9cde6a1030fa27b7cf5802c4914a41b66e3fc928ec43acfd,5,3.69e-16,2925564000000,199008026876075789047531005311549.290531746307756036,102.6,0x164bB176f94C2c2e0C3053fD5D78D12ED4b0Cd79,0x8007281d6976969D19C30ff6e8DA5Bf61b7be5A3,499008026876075789047531005311.549290531746307756,1642849681,0x55F8755D9b04F2995733949a03fD260841E1C75d
